t,u,v,r,X,Y,Z
2800.208330154419,240,309,25.23,-31.20192903700056,-27.799534386037532,189.12841627888395
2831.70223236084,240,309,25.32,-31.091021706300324,-27.700720875186686,188.45615887504906
2863.471508026123,241,309,25.28,-30.75096365638766,-27.74455112973603,188.75434899985135
2896.1775302886963,242,307,25.22,-30.43394341250738,-27.00445409181907,189.20340772070747
2927.6320934295654,243,306,25.19,-30.079545235942515,-26.633083446353783,189.4287392900453
2976.658582687378,245,304,25.1,-29.40331186268143,-25.91862357169728,190.1079658452686
3008.3158016204834,248,301,25.11,-28.21593797862094,-24.693849904561002,190.0322557832036
3038.3713245391846,252,299,25.17,-26.58486170691281,-23.827280522029262,189.5792587491554
3070.225715637207,256,298,25.04,-25.150947910655724,-23.545035565393437,190.5634961148659
3103.3401489257812,263,297,25.1,-22.346517015637886,-23.08377411854289,190.1079658452686
3134.904623031616,273,298,25.03,-18.47760660775351,-23.554442291548202,190.6396301524667
3166.7211055755615,280,298,24.89,-15.814075323493855,-23.686930114803197,191.71193020153643
3199.4173526763916,282,297,24.96,-14.98123870439399,-23.213250415682158,191.1742765511315
3232.40327835083,283,296,24.99,-14.569484181337732,-22.77862225663872,190.94477561889724
3263.6945247650146,287,296,25.05,-12.963280487483182,-22.72406268237132,190.48742286292384
3312.687873840332,294,297,25.07,-10.20534573678282,-23.111397302569866,190.3354584250595
3344.191789627075,304,299,25.04,-6.287736977663931,-23.950984454451945,190.5634961148659
3373.136281967163,311,301,24.89,-3.558166947786117,-24.91211615522405,191.71193020153643
3407.515048980713,312,301,24.9,-3.161544857845479,-24.90211128929826,191.63493745848362
3440.1230812072754,312,301,24.87,-3.165358542836848,-24.932150024267255,191.86610143611748
3472.5303649902344,312,301,24.91,-3.1602756708290816,-24.89211445618333,191.55800653216548
3503.5974979400635,312,302,24.93,-3.157740351398011,-25.279884929223897,191.4043298321798
3535.407543182373,312,302,24.85,-3.1679061151047248,-25.361268864609723,192.02052083365157
3567.943572998047,312,301,24.89,-3.162815064698771,-24.91211615522405,191.71193020153643
3615.7660484313965,312,300,24.88,-3.164086292618667,-24.51356957079991,191.78898483586184
3646.5606689453125,312,299,24.84,-3.1691814396277143,-24.143826519302603,192.0978237808471
3653.019428253174,312,299,24.84,-3.1691814396277143,-24.143826519302603,192.0978237808471
3712.3706340789795,311,299,24.87,-3.561028360691454,-24.114702482488003,191.86610143611748
3742.1841621398926,308,298,24.9,-4.742317286768218,-23.67741729146392,191.63493745848362
3775.087356567383,303,296,24.91,-6.715585800511798,-22.8517772056765,191.55800653216548
3808.189868927002,298,294,24.92,-8.687270631660079,-22.02679975238168,191.4811373481638
3839.674711227417,296,292,25.09,-9.412809919531975,-21.06727498865291,190.18373625812046
3871.9265460968018,297,292,25.04,-9.038621905391901,-21.10934223104239,190.5634961148659
3903.717041015625,297,293,25.07,-9.027805844077111,-21.489544860284262,190.3354584250595
3952.5046348571777,295,294,25.08,-9.808919826598936,-21.886277903881638,190.25956709394904
3982.1653366088867,297,297,25.58,-8.84781440621631,-22.650614948218397,186.54065452369986
