t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
3422.8503704071045,417,188,278,195,269,53,412,45,3.249424585235527,111.85967850312619,27.55541233647466,-0.8986402992183335,-1.3897837678161464,1.502222643675594
3470.7751274108887,416,189,277,198,0,0,0,0,3.249424585235527,111.85967850312619,27.55541233647466,-0.8986402992183335,-1.3897837678161464,1.502222643675594
3506.8612098693848,415,189,276,198,265,54,409,47,2.5181265101305694,108.11348193582049,26.12969445699117,-1.0087800833545164,-1.3890038126377622,1.5145993360000425
3534.5730781555176,413,188,274,196,263,52,407,46,1.878403252999587,104.3267170229034,25.578007209496683,-0.9609316480673072,-1.3646761919869381,1.5037785146493676
3566.2150382995605,411,187,272,195,261,53,406,43,1.1282191581327399,97.62627983827483,24.081848110248472,-0.8835097895685714,-1.352573106922203,1.4836195526892255
3602.1502017974854,409,187,270,195,259,52,404,44,0.7063834359354546,96.18730945683826,23.761356206584388,-0.9344844673795435,-1.3333832741100582,1.4763836352939657
3631.430149078369,407,188,268,196,257,54,402,44,0.12281149919604983,91.54459789144065,22.42086979169047,-0.9459741881978323,-1.3166823770011837,1.4706940095648442
3669.1532135009766,405,188,265,197,254,53,399,45,-0.4052953138281916,89.68518975528919,21.99344859114799,-1.0476540871360376,-1.2891885689819038,1.4741543493673355
3694.655656814575,402,189,263,198,252,54,396,47,-0.8930928024122053,87.05340754756962,21.15379425441249,-1.0788192196858049,-1.2679275280610736,1.4719384423138535
3726.872444152832,397,188,259,196,248,53,392,47,-1.7380825101319552,81.58730570681523,20.04521799881348,-1.0364594208592708,-1.2297859971364136,1.4633186581506559
3762.4425888061523,393,185,255,193,243,51,388,42,-2.5526829980124215,74.48317914033161,18.80762892414514,-0.9578662327016403,-1.2011834742188279,1.4655403495246861
3805.9732913970947,387,184,250,191,239,50,383,40,-3.314570282282753,69.10678055329221,17.776656584619555,-0.9373356788884115,-1.1563027052137125,1.463107776472453
3844.0144062042236,380,183,244,190,232,48,377,42,-4.098460344773661,64.50282118783808,16.74911760305229,-0.9508180633178887,-1.109844980222894,1.4664334749103636
3869.7495460510254,374,181,237,189,226,46,370,41,-4.826691644705365,60.155055111762856,16.012197169099647,-0.9849147441144189,-1.067074989735998,1.4800835171785176
3901.794910430908,367,181,230,188,219,45,363,39,-5.463361633245832,54.76150495804769,14.862448047217072,-0.9674366635186419,-1.031706956915013,1.491071418715426
3933.9616298675537,362,181,223,187,0,0,0,0,-5.463361633245832,54.76150495804769,14.862448047217072,-0.9674366635186419,-1.031706956915013,1.491071418715426
3972.9301929473877,357,180,220,188,0,0,0,0,-5.463361633245832,54.76150495804769,14.862448047217072,-0.9674366635186419,-1.031706956915013,1.491071418715426
3998.2082843780518,352,180,216,187,205,47,346,39,-6.475025627541786,45.870606401497724,12.827012772911289,-0.9489831401463766,-0.9764556013356082,1.523049596102894
