t,u,v,r,X,Y,Z
3391.937732696533,419,318,25.94,45.323437500000004,-36.887499999999996,222
3424.8101711273193,412,325,25.96,42.11875,-40.197916666666664,222
3472.888708114624,405,332,26.15,38.9140625,-43.50833333333333,222
3504.5344829559326,399,338,25.94,36.167187500000004,-46.34583333333333,222
3536.5848541259766,391,344,25.92,32.5046875,-49.18333333333333,222
3567.904233932495,384,349,25.89,29.3,-51.547916666666666,222
3600.539207458496,379,355,25.9,27.0109375,-54.385416666666664,222
3632.24720954895,374,359,25.95,24.721875,-56.27708333333333,222
3664.792060852051,371,362,25.81,23.3484375,-57.69583333333333,222
3696.836233139038,369,363,25.78,22.4328125,-58.168749999999996,222
3728.916883468628,369,363,25.7,22.4328125,-58.168749999999996,222
3760.948419570923,370,362,25.22,22.890625,-57.69583333333333,222
3808.5572719573975,373,359,25.21,24.2640625,-56.27708333333333,222
3841.017246246338,377,356,25.22,26.095312500000002,-54.858333333333334,222
3848.123550415039,377,356,25.22,26.095312500000002,-54.858333333333334,222
3905.0588607788086,387,347,25.18,30.673437500000002,-50.60208333333333,222
3935.6741905212402,393,342,25.17,33.4203125,-48.2375,222
3969.1030979156494,399,336,25.19,36.167187500000004,-45.4,222
4001.0056495666504,406,330,25.16,39.371875,-42.5625,222
4033.2164764404297,413,325,25.16,42.5765625,-40.197916666666664,222
4064.6345615386963,420,319,25.18,45.78125,-37.360416666666666,222
4097.0306396484375,426,313,25.17,48.528125,-34.52291666666667,222
4145.158529281616,432,308,25.22,51.275,-32.15833333333333,222
4176.1932373046875,438,302,25.29,54.021875,-29.320833333333333,222
4181.663513183594,438,302,25.29,54.021875,-29.320833333333333,222
4209.392309188843,445,297,25.4,57.2265625,-26.95625,222
4239.548444747925,450,291,25.45,59.515625,-24.11875,222
4305.107355117798,462,280,25.61,65.009375,-18.916666666666664,222
4337.183475494385,468,276,25.75,67.75625000000001,-17.025,222
4367.296457290649,473,271,25.81,70.04531250000001,-14.660416666666666,222
4399.7251987457275,477,266,25.84,71.8765625,-12.295833333333333,222
4449.229955673218,480,262,25.93,73.25,-10.404166666666667,222
4480.805397033691,484,258,26.0,75.08125,-8.5125,222
4489.790201187134,484,258,26.0,75.08125,-8.5125,222
4512.238502502441,487,253,26.08,76.4546875,-6.147916666666666,222
4544.463157653809,490,250,26.13,77.828125,-4.729166666666666,222
4576.972961425781,491,248,26.2,78.2859375,-3.783333333333333,222
