t,u0,v0,u1,v1,u2,v2,u3,v3
2334.9504470825195,460,191,357,195,468,297,407,193
2367.1677112579346,460,191,357,195,468,297,362,304
2399.830102920532,460,191,408,193,357,194,0,0
2431.8437576293945,460,191,407,193,357,195,0,0
2478.8644313812256,459,191,407,193,357,194,0,0
2510.486841201782,459,191,356,195,407,193,0,0
2544.2240238189697,459,191,356,195,0,0,0,0
2575.2854347229004,459,191,356,194,407,193,0,0
2609.4624996185303,459,191,351,195,408,193,344,195
2638.5295391082764,405,193,355,195,458,191,0,0
2674.903392791748,456,191,404,193,354,194,0,0
2703.835964202881,402,193,352,195,456,191,0,0
2735.280752182007,402,193,455,191,352,194,0,0
2767.392635345459,402,193,455,191,353,194,0,0
2799.2265224456787,402,193,455,192,353,194,0,0
2831.2456607818604,403,193,456,191,349,194,464,297
2878.929376602173,402,193,456,191,408,301,464,297
2911.5405082702637,404,193,455,191,352,194,343,194
2943.817377090454,401,193,454,191,352,194,0,0
2976.7560958862305,400,193,454,192,350,194,0,0
3008.1722736358643,454,192,401,193,349,194,0,0
3039.4699573516846,454,191,351,194,401,193,0,0
3071.105718612671,454,192,350,194,0,0,0,0
3102.3595333099365,400,193,453,192,351,194,0,0
3137.5532150268555,452,192,349,194,398,193,0,0
3166.157007217407,399,193,452,192,348,194,0,0
3199.580192565918,398,193,451,192,348,194,0,0
3231.2188148498535,0,0,0,0,0,0,0,0
3279.7515392303467,396,194,448,193,346,196,0,0
3312.347650527954,395,195,448,192,344,198,0,0
3343.302011489868,446,192,345,196,394,194,0,0
3375.127077102661,344,196,446,193,394,194,0,0
3406.623125076294,446,192,395,194,346,196,0,0
3438.983678817749,446,192,345,196,394,194,0,0
3479.06756401062,445,192,345,196,394,194,0,0
3501.9140243530273,444,192,345,197,393,195,0,0
3534.7518920898438,344,197,444,192,390,195,0,0
3567.012071609497,345,197,393,195,444,192,0,0
3598.863124847412,345,196,445,192,394,194,0,0
3631.636619567871,444,192,344,196,393,195,0,0
3679.8534393310547,392,195,442,192,345,197,0,0
3711.5607261657715,0,0,0,0,0,0,0,0
3760.2357864379883,440,193,389,196,342,198,0,0
3774.611711502075,387,196,439,194,343,198,0,0
3816.57075881958,0,0,0,0,0,0,0,0
3839.7669792175293,439,194,340,199,386,196,0,0
3870.6438541412354,438,194,386,196,341,198,0,0
3902.848720550537,392,303,446,297,339,308,0,0
3934.117317199707,0,0,0,0,0,0,0,0
3977.21529006958,0,0,0,0,0,0,0,0
3998.220920562744,330,201,340,200,379,197,428,194
4030.857563018799,380,197,427,194,333,200,0,0
4079.862117767334,0,0,0,0,0,0,0,0
4112.69474029541,0,0,0,0,0,0,0,0
4144.165992736816,0,0,0,0,0,0,0,0
4176.006555557251,0,0,0,0,0,0,0,0
4206.998586654663,0,0,0,0,0,0,0,0
4239.173412322998,377,198,427,195,0,0,0,0
4271.322965621948,0,0,0,0,0,0,0,0
4303.8330078125,0,0,0,0,0,0,0,0
4336.439609527588,0,0,0,0,0,0,0,0
4365.671873092651,0,0,0,0,0,0,0,0
4400.072813034058,0,0,0,0,0,0,0,0
4421.655893325806,0,0,0,0,0,0,0,0
4478.551864624023,0,0,0,0,0,0,0,0
4511.897087097168,0,0,0,0,0,0,0,0
4543.478727340698,0,0,0,0,0,0,0,0
4575.357437133789,0,0,0,0,0,0,0,0
4606.497287750244,0,0,0,0,0,0,0,0
4639.23454284668,0,0,0,0,0,0,0,0
4671.2400913238525,0,0,0,0,0,0,0,0
4702.9242515563965,0,0,0,0,0,0,0,0
4751.322031021118,0,0,0,0,0,0,0,0
4766.1755084991455,0,0,0,0,0,0,0,0
4799.968004226685,0,0,0,0,0,0,0,0
4821.840286254883,0,0,0,0,0,0,0,0
4878.280878067017,0,0,0,0,0,0,0,0
4910.358667373657,378,197,426,194,327,201,0,0
4943.739891052246,0,0,0,0,0,0,0,0
4974.815130233765,0,0,0,0,0,0,0,0
5008.020877838135,426,194,379,197,328,201,0,0
5039.572238922119,0,0,0,0,0,0,0,0
5071.5014934539795,0,0,0,0,0,0,0,0
5103.459358215332,0,0,0,0,0,0,0,0
5135.054588317871,374,199,423,195,325,203,0,0
5167.0122146606445,0,0,0,0,0,0,0,0
5200.175046920776,0,0,0,0,0,0,0,0
5220.771789550781,0,0,0,0,0,0,0,0
5277.52947807312,0,0,0,0,0,0,0,0
5318.956136703491,420,195,372,199,0,0,0,0
5342.70453453064,0,0,0,0,0,0,0,0
5374.752044677734,420,195,371,199,322,204,0,0
5407.370090484619,419,195,372,199,321,204,0,0
5439.9120807647705,372,199,419,195,0,0,0,0
5471.42481803894,420,195,373,199,0,0,0,0
5503.633499145508,373,199,422,195,0,0,0,0
5536.3805294036865,0,0,0,0,0,0,0,0
5567.387104034424,373,199,420,195,0,0,0,0
5599.6198654174805,0,0,0,0,0,0,0,0
5619.3108558654785,0,0,0,0,0,0,0,0
5678.915500640869,371,199,419,195,0,0,0,0
5711.709022521973,418,195,371,199,320,204,0,0
5743.183374404907,371,199,418,195,0,0,0,0
5776.419639587402,370,199,419,195,0,0,0,0
5807.259559631348,419,195,372,199,0,0,0,0
5839.277505874634,371,199,419,195,0,0,0,0
5871.553659439087,371,199,418,195,321,204,0,0
5902.985572814941,418,195,370,199,0,0,0,0
