t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
3039.5803451538086,243,337,242,146,434,332,431,141,-19.29981602012807,0.12068752388325166,-4.38325317693796,-0.6683440406090719,-0.015383843573738678,-1.600746085699733
3071.6590881347656,241,338,237,153,422,336,427,150,-18.74471477466352,-0.6205589685783046,-3.797174519025371,-0.655874946479687,-0.07300456464913122,-1.5929953615299794
3104.454278945923,239,339,230,163,414,340,425,165,-18.578169384435604,-2.489890238382454,-2.952024735672614,-0.6532712280748727,-0.15786531229526318,-1.5887115642433227
3135.228395462036,234,340,227,168,410,341,420,170,-19.382141847131454,-3.329407780278597,-3.0044792891490064,-0.683550447758269,-0.17103356999494884,-1.5821493499895596
3166.468858718872,230,335,220,163,406,335,414,165,-19.582200854346244,-2.641930453000363,-3.2275814390706117,-0.6478577832075463,-0.12327171050426552,-1.5720283101223143
3199.223756790161,228,329,215,157,403,325,408,155,-19.633815494265917,-1.0117031473752611,-3.8368054687115403,-0.5886364313188077,-0.04480103598219746,-1.562607826895618
3231.234312057495,227,324,210,151,400,319,403,148,-19.344236950953498,0.3364110082836014,-4.011919058180283,-0.5162594339733876,0.014729415419724178,-1.5547719382952607
3262.9199028015137,225,323,208,150,398,318,400,147,-19.53990512844821,0.607435475385671,-4.111931393022335,-0.5052750147258614,0.03148437487863946,-1.550422683016449
3295.552968978882,223,325,206,151,397,321,399,148,-19.728769465920863,0.5191521652484923,-4.114584674577035,-0.5000366863632469,0.016918865729579822,-1.5479496756801059
3343.7178134918213,222,329,205,153,397,325,399,150,-19.838115116858635,-0.17445397587594513,-4.144567637193065,-0.4971486797407013,-0.01220374265234478,-1.5480952914633703
3375.809669494629,220,333,202,159,393,331,397,159,-19.908090595476402,-1.8928296964629787,-3.756646335374148,-0.501835462118914,-0.07773986404781033,-1.5460573276032932
3406.595468521118,217,333,200,165,386,332,394,166,-20.134850333786734,-2.773836483789413,-3.451315321358469,-0.5305020744166266,-0.11627036125608713,-1.540679796496492
3440.434217453003,214,325,196,162,382,321,387,162,-20.75036025895399,-2.0884812651413114,-3.894897872393504,-0.5046874002972772,-0.03810644403907209,-1.5317882541163992
3471.2116718292236,212,315,191,153,379,305,380,146,-21.024485688369595,1.8082377267298853,-4.84779816144037,-0.38540666125558326,0.11600015207900058,-1.5193675417276706
